rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,bin_step,status,active_bin_array,active_bin_array_index,active_bin_index,wsol_side,active_bin_amount_x,active_bin_amount_y,active_bin_liquidity_supply,active_bin_open_order_amount,active_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,token_volume_24h_usd
38,AjYnNs4jjrm8m3Jwh2VLvY5pjJcMwTJWT618JGaApfGy,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,So11111111111111111111111111111111111111112,4daoTLufDmV3ods48Zh8rymaZKBLtgEvuH9qALYLbonk,memecoin,-590,80,0,EzJhXMz6gipuJRsYXedQF43AnedW6c4MJSjxERGAVr7v,-9,40,y,0,0,0,0,true,6022.924658000000,0.060271144000,0.060271144000,10.870845,0.000009084187,0.000001264758,12.555827,90.182832,-8608,144040.668134
39,DE8wpGkDA4RrLHTKrfoTTAC4ZJPfB8SySfzSkkfJ4UCt,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,So11111111111111111111111111111111111111112,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut,157,80,0,6YPXJVAvCeGtmjoc7Zkk3A1VkvHJgrofBeHFYEeLfnBf,2,17,y,0,0,0,0,true,4.296740000000,0.021969121000,0.021969121000,3.962475,0.003493844252,0.000505921602,13.058808,90.182832,-8552,134680.939304
40,H5sVUKA5jqTyBCVC3BvVTE7s72MSmdf75hCKHeKpaH5T,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,5,100,0,CDHJ6LZgZPc4dtbW5FicjRGvoLQJtKxUeSTv4ywa34Ph,0,5,y,0,0,0,0,true,158053.906890999991,57.277811277000,57.277811277000,10330.950503,0.001051010050,0.000154957110,13.296230,90.182832,-8526,379555.116543
41,Fk71dyB2tyqXKXhVSnSx3NUHHtJw1wsNQYcqhoKKxvux,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,So11111111111111111111111111111111111111112,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,-554,100,0,GvqeBEo3sx3gZZF2Rz85zugVqrGPtaFBZLyrGswUzbAW,-8,6,y,0,0,0,0,true,55.489837342000,0.047326644000,0.047326644000,8.536102,0.004036072180,0.000609454759,13.617783,90.182832,-8490,682404.809073
42,sX1QZgTFGzhVNFUN9xSGSdWnupVZgRbvicYn1JybY1Q,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,So11111111111111111111111111111111111111112,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,1,-168,125,0,Ah2R4vxVMmpbqF3rhyQ5vB8PVwGRFKY8iGAfFoiBoLVo,-3,42,y,0,0,0,0,true,3422.862590000000,0.198500022000,0.198500022000,35.802588,0.000124060819,0.000018867362,13.715146,90.182832,-8479,152425.671424
43,6PCqu87W3DtF7AAAS2idox4JY3EwqtnUMpjpjJvRiD9V,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,214,100,0,9LGR5W2gGKzDNDoJerXFqZMeZTyikA73ZZui3ZSUk6wQ,3,4,y,0,0,0,0,true,349.460415000000,0.338997049000,0.338997049000,61.143428,0.008409573864,0.001285838611,13.789113,90.182832,-8471,204072.838182
44,5Nfvy4DbXxmGJoFDDT4Gyry6sFYByieZciPagCHCZdb7,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,So11111111111111111111111111111111111111112,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2,50,0,D2NWN1yQ5hCQKe2vuPjHNXGyc2aW2EsBTPxmtrHz739V,0,2,y,0,0,0,0,true,14.636467000000,0.015914464000,0.015914464000,2.870423,0.001010025000,0.000154957110,13.835768,90.182832,-8466,379555.116543
45,GhpeXCenhrrLKxJAuEwtwG5jT7hEoTk1X3yRxQKu3zRd,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,So11111111111111111111111111111111111111112,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,Pnut,48,250,0,8FMSXsjHcS8TKLX4RHfAKuppTXQZ3xWcU6oymSAL5M98,0,48,y,0,0,0,0,true,3.665294000000,0.011935881000,0.011935881000,2.152823,0.003271489561,0.000505921602,13.946382,90.182832,-8454,134680.939304
46,AyS7Y6kEZRC8FzjZ9co2QyuEgbqCS2JroMNbygwhu6Ev,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,So11111111111111111111111111111111111111112,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,GRIFFAIN,-21,200,0,92gD3c85qq7eLUKuFeXxD9L9FEPzhSfsECA2dfwx3zcR,-1,49,y,0,0,0,0,true,392.022332000000,0.488095571000,0.488095571000,88.035682,0.000659775817,0.000103352546,14.126958,90.182832,-8434,163645.748558
47,99q7Qv5bTRh2Kjn3Yj6cPCpPSMNy8QfVTsEZhA4rARts,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,14,80,0,6gwFX6A3u6kA2Dfu2UFY7C2KNUxBsMw7S4SHZHapGwuU,0,14,y,0,0,0,0,true,11.562684000000,0.010506313000,0.010506313000,1.894978,0.001118014534,0.000180984776,14.598844,90.182832,-8381,249402.599752
48,UEbnuymC1FBN9oCusUUkVHKybGe6SSnZv1q2uhYX1bA,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,So11111111111111111111111111111111111111112,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,AVA,-29,250,0,45kqRYi9SpyNtjmKGLQZ8Rt46sHhdoyspFKnYfzAxtmP,-1,41,y,0,0,0,0,true,2918.777779000000,0.072327954000,0.072327954000,13.045479,0.000488661252,0.000079761044,14.719966,90.182832,-8368,335313.574523
49,AecViNFhbiYhUcjDyHUKaUbbVe22bCwd9VswgJ8PJnUM,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,9,100,0,At8b7KqzW9ohjn9xJbEr1p56rEnVzbPJepGtSRf8pWVf,0,9,y,0,0,0,0,true,9.469177000000,0.012942960000,0.012942960000,2.334466,0.001093685273,0.000180984776,14.923598,90.182832,-8345,249402.599752
50,Ch7Ykf8DNGz361Pf52bGJVfU8FsV4BDMxNPpiGhrAD2J,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,So11111111111111111111111111111111111111112,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,VINE,8,100,0,6QnLmANGPgGo1W9PEZ7WMqvjqXRcd3cZrjmkuU3f1u3G,0,8,y,0,0,0,0,true,6.550430000000,0.009037280000,0.009037280000,1.630015,0.001082856706,0.000180984776,15.072834,90.182832,-8329,249402.599752
